flight_id,date,carrier,origin,dest,sched_dep_local,dep_hour,predicted_delay_min,predicted_delay_bucket,actual_delay_bucket,dep_delay_min,delay_risk,risk_threshold_used,prob_on_time,prob_15_30_min,prob_30_60_min,prob_60_90_min,prob_90plus_min,prev_arr_delay_min,inbound_delay_after_buffer_min,had_late_inbound,tight_turnaround,turnaround_buffer_min,weather_severity_score,snowfall_cm,precip_mm,wind_gust_kmh,is_fog_code,is_thunderstorm_code,origin_recent_delay_rate,carrier_recent_delay_rate,route_recent_delay_rate,is_evening_bank,origin_hour_congestion_pctile,date_ordinal
2015-01-11_EV5973,2015-01-11,EV,ORD,TUL,20:05,20,41.4,0,1,17.0,0.803,0.82,0.197,0.0776,0.1319,0.116,0.4775,50.0,0.0,1,0,231.0,1.7980000000000003,0.28,0.4,16.6,0,0,0.54,0.33,0.41025641025641024,1,0.6072969424123054,6
2015-01-10_MQ2971,2015-01-10,MQ,ORD,MLI,19:00,19,16.6,0,0,0.0,0.8019,0.82,0.1981,0.2082,0.3429,0.1089,0.1419,8.0,0.0,0,0,109.0,1.038,0.0,0.0,34.6,0,0,0.6,0.41,0.45454545454545453,1,0.17792159069592947,5
2015-01-11_MQ3033,2015-01-11,MQ,ORD,SGF,19:00,19,37.2,0,1,23.0,0.8009,0.82,0.1991,0.1718,0.0933,0.1466,0.3893,8.0,,0,0,,1.8070000000000002,0.28,0.4,16.9,0,0,0.64,0.33,0.6111111111111112,1,0.17792159069592947,6
2015-01-11_UA1591,2015-01-11,UA,ORD,LAX,20:16,20,42.9,0,1,19.0,0.8005,0.82,0.1995,0.1153,0.0428,0.0468,0.5956,-11.0,0.0,0,0,311.0,1.7980000000000003,0.28,0.4,16.6,0,0,0.5,0.66,0.48,1,0.6072969424123054,6
2015-01-10_MQ3025,2015-01-10,MQ,ORD,DSM,16:05,16,18.3,0,2,48.0,0.8003,0.82,0.1997,0.0999,0.2396,0.2413,0.2195,46.0,0.0,1,0,94.0,1.038,0.0,0.0,34.6,0,0,0.4,0.41,0.44,1,0.31804539486025135,5
2015-01-11_AA1617,2015-01-11,AA,ORD,LAX,19:15,19,29.4,0,2,42.0,0.7987,0.82,0.2013,0.1061,0.1725,0.0358,0.4843,-18.0,,0,0,,1.8070000000000002,0.28,0.4,16.9,0,0,0.64,0.32,0.46,1,0.17792159069592947,6
2015-01-10_MQ3618,2015-01-10,MQ,ORD,LIT,15:10,15,15.6,0,1,15.0,0.7977,0.82,0.2023,0.4921,0.1007,0.1136,0.0913,19.0,0.0,1,0,201.0,1.059,0.0,0.0,35.3,0,0,0.4,0.4,0.7272727272727273,0,0.2893453385856312,5
2015-01-10_UA685,2015-01-10,UA,ORD,SFO,18:03,18,17.2,0,2,45.0,0.7944,0.82,0.2056,0.2352,0.3133,0.1108,0.1351,52.0,,1,0,,1.026,0.0,0.0,34.2,0,0,0.52,0.43,0.7,1,0.5639654848996436,5
2015-01-10_MQ2975,2015-01-10,MQ,ORD,HSV,20:20,20,17.2,0,2,32.0,0.794,0.82,0.206,0.259,0.2141,0.1274,0.1934,150.0,,1,0,,1.038,0.0,0.0,34.6,0,0,0.46,0.43,,1,0.06706058900769087,5
2015-01-11_AA1009,2015-01-11,AA,ORD,LAX,20:25,20,33.7,0,3,86.0,0.7924,0.82,0.2076,0.2206,0.0896,0.0662,0.416,24.0,0.0,1,0,323.0,1.7980000000000003,0.28,0.4,16.6,0,0,0.52,0.39,0.48,1,0.6072969424123054,6
2015-01-11_UA308,2015-01-11,UA,ORD,MCO,18:23,18,18.7,0,1,21.0,0.7914,0.82,0.2086,0.2136,0.1275,0.2942,0.1561,10.0,0.0,0,0,64.0,0.6940000000000001,0.07,0.0,17.3,0,0,0.66,0.5,0.5,1,0.8659726130181955,6
2015-01-11_EV4234,2015-01-11,EV,ORD,PVD,19:22,19,28.5,0,0,0.0,0.7894,0.82,0.2106,0.0918,0.1926,0.067,0.438,-20.0,0.0,0,0,157.0,1.8070000000000002,0.28,0.4,16.9,0,0,0.58,0.31,0.5,1,0.17792159069592947,6
2015-01-11_MQ3383,2015-01-11,MQ,ORD,XNA,19:35,19,33.7,0,2,36.0,0.7825,0.82,0.2175,0.1987,0.1653,0.1005,0.3181,4.0,0.0,0,0,212.0,1.8070000000000002,0.28,0.4,16.9,0,0,0.6,0.34,0.5,1,0.17792159069592947,6
2015-01-11_MQ3178,2015-01-11,MQ,ORD,CMH,18:40,18,18.2,0,2,53.0,0.7808,0.82,0.2192,0.3072,0.1637,0.1382,0.1717,30.0,0.0,1,0,266.0,0.6940000000000001,0.07,0.0,17.3,0,0,0.68,0.31,0.54,1,0.8659726130181955,6
2015-01-10_UA1762,2015-01-10,UA,ORD,SMF,15:26,15,15.1,0,0,0.0,0.7789,0.82,0.2211,0.2821,0.2903,0.0982,0.1082,177.0,,1,0,,1.059,0.0,0.0,35.3,0,0,0.48,0.43,,0,0.2893453385856312,5
2015-01-10_AA1459,2015-01-10,AA,ORD,SFO,18:15,18,16.3,0,2,46.0,0.7778,0.82,0.2222,0.1832,0.3095,0.1343,0.1507,106.0,,1,0,,1.026,0.0,0.0,34.2,0,0,0.58,0.39,0.7,1,0.5639654848996436,5
2015-01-10_MQ3152,2015-01-10,MQ,ORD,AZO,19:00,19,16.0,0,1,25.0,0.7773,0.82,0.2227,0.2533,0.1992,0.1739,0.151,11.0,0.0,0,0,184.0,1.038,0.0,0.0,34.6,0,0,0.6,0.4,0.5909090909090909,1,0.17792159069592947,5
2015-01-11_UA1233,2015-01-11,UA,ORD,BOS,18:10,18,21.3,0,2,30.0,0.7772,0.82,0.2228,0.2327,0.1922,0.1945,0.1578,32.0,,1,0,,0.6940000000000001,0.07,0.0,17.3,0,0,0.6,0.44,0.58,1,0.8659726130181955,6
2015-01-11_OO6219,2015-01-11,OO,DEN,COS,18:55,18,14.2,0,4,105.0,0.7747,0.82,0.2253,0.1304,0.044,0.2089,0.3914,104.0,0.0,1,0,181.0,0.174,0.0,0.0,5.8,0,0,0.64,0.29,0.5217391304347826,1,0.539187790998448,6
2015-01-11_MQ3124,2015-01-11,MQ,ORD,TVC,19:55,19,33.6,0,3,74.0,0.7733,0.82,0.2267,0.0818,0.1672,0.1145,0.4097,0.0,,0,0,,1.8070000000000002,0.28,0.4,16.9,0,0,0.56,0.35,0.47058823529411764,1,0.17792159069592947,6
2015-01-11_MQ3280,2015-01-11,MQ,ORD,RST,20:05,20,37.3,0,3,87.0,0.7726,0.82,0.2274,0.0946,0.0829,0.0787,0.5164,0.0,0.0,0,1,2.0,1.7980000000000003,0.28,0.4,16.6,0,0,0.54,0.37,0.6538461538461539,1,0.6072969424123054,6
